sampleid	purity	PC	PoP	Euploidy	pl.tumor	pl.overall	%amp	%del	%del.loh	%cn.loh
TCGA.V5.AASX.01A	0.67	0.258	0.0146	2	1.95	1.97	0.0772	0.181	0.00377	0
TCGA.VR.A8EO.01A	0.93	0.481	0.363	4	3.82	3.83	0.156	0.325	0	0
TCGA.VR.A8EP.01A	0.59	0.617	0.557	4	3.31	3.6	0.0773	0.54	0	0
TCGA.VR.A8EQ.01A	0.62	0.161	0.451	2	2.11	2.07	0.126	0.0357	0	0.0225
TCGA.VR.A8ER.01A	0.61	0.537	0.117	2	1.92	1.95	0.196	0.341	0.0333	0.0148
TCGA.VR.A8ET.01A	0.14	0.228	0.494	2	2.03	2	0.0688	0.16	0.0659	0.0264
TCGA.VR.A8EU.01A	0.66	0.575	0.266	4	3.87	3.92	0.186	0.389	0	0
TCGA.VR.A8EW.01A	0.8	0.551	0.229	4	3.88	3.91	0.192	0.359	0	0
TCGA.VR.A8EX.01A	0.44	0.587	0.409	4	3.82	3.92	0.207	0.38	0	0
TCGA.VR.A8EY.01A	0.76	0.577	0.223	2	2.27	2.21	0.331	0.246	0.0239	0.0607
TCGA.VR.A8EZ.01A	0.78	0.781	0.284	4	3.29	3.45	0.0949	0.686	0	0
TCGA.VR.A8Q7.01A	0.54	0.664	0.379	4	3.71	3.84	0.159	0.505	0	0
TCGA.VR.AA4D.01A	0.81	0.567	0.298	4	3.79	3.83	0.159	0.408	0	0
TCGA.VR.AA4G.01A	0.51	0.501	0.386	2	1.9	1.95	0.146	0.355	0.0512	0.108
TCGA.VR.AA7B.01A	0.69	0.761	0.45	4	3.81	3.87	0.301	0.459	0	0
TCGA.VR.AA7D.01A	0.68	0.48	0.232	2	2.06	2.04	0.232	0.248	0.0144	0.0414
TCGA.VR.AA7I.01A	0.55	0.568	0.467	4	3.74	3.86	0.0953	0.473	0	0
TCGA.X8.AAAR.01A	0.76	0.447	0.0681	2	1.76	1.82	0.0545	0.393	0.0256	0.00321
TCGA.XP.A8T6.01A	0.55	0.447	0.115	2	1.99	1.99	0.164	0.283	0.00161	0.0338
TCGA.XP.A8T7.01A	0.73	0.496	0.22	2	1.89	1.92	0.121	0.375	0.0691	0.0207
TCGA.XP.A8T8.01A	0.78	0.579	0.532	6	5.31	5.46	0.0736	0.505	0	0
TCGA.Z6.A8JD.01A	0.29	0.513	0.363	2	1.8	1.94	0.0673	0.446	0.0238	0.119
TCGA.Z6.A8JE.01A	0.71	0.767	0.38	4	3.75	3.82	0.246	0.521	0	0
TCGA.Z6.A9VB.01A	0.61	0.657	0.164	2	1.99	1.99	0.266	0.391	0.0135	0.0636
TCGA.Z6.AAPN.01A	0.38	0.49	0.252	2	2.17	2.06	0.328	0.162	0	0.00544
TCGA.ZR.A9CJ.01B	0.48	0.683	0.699	4	3.79	3.9	0.216	0.467	0	0
